,matchId,participantId,pos,distance,difference
86,2695191284,4,"[array([3552., 6297.]), array([2213., 8353.]), array([6400., 5340.]), array([7898., 3514.]), array([3203., 9274.]), array([5717., 5319.])]","[4680.06, 2015.15, 8088.29, 5941.08, 8766.66, 2287.87]",5296.518333333333
88,2695191287,2,"[array([7919., 3531.]), array([3985., 6609.]), array([4825., 9505.]), array([631., 501.]), array([8562., 2493.]), array([ 2996., 11006.])]","[2759.81, 609.93, 3636.94, 10643.62, 136.4, 4854.84]",3773.5900000000006
90,2695191291,5,"[array([7922., 3558.]), array([3885., 6234.]), array([6402., 9540.]), array([2693., 2561.]), array([9850., 2578.]), array([2364., 8332.])]","[2732.64, 693.14, 4371.93, 7801.04, 1175.11, 2474.39]",3208.0416666666665
92,2695191293,5,"[array([6831., 3068.]), array([6952., 5162.]), array([5978., 7325.]), array([ 2854., 12814.]), array([4760., 7415.]), array([8951., 6095.])]","[3497.83, 3890.53, 6083.41, 5129.47, 6342.56, 5350.83]",5049.1050000000005
94,2695191295,5,"[array([7890., 3486.]), array([3925., 6575.]), array([5085., 9089.]), array([5854., 5380.]), array([1635.,  985.]), array([10383.,  3226.])]","[2807.91, 558.32, 4115.53, 4002.52, 7195.99, 7401.01]",4346.88
96,2695191297,4,"[array([9768., 6128.]), array([6462., 4834.]), array([672., 726.]), array([ 5356., 13622.]), array([6306., 9989.]), array([5353.,  866.])]","[1542.83, 3606.21, 12590.39, 4486.49, 7922.32, 5603.91]",5958.691666666666
98,2695191299,4,"[array([7230., 5212.]), array([7682., 3526.]), array([3822., 7956.]), array([2915., 7875.]), array([4493., 9629.]), array([10528.,  3191.])]","[1459.36, 5350.68, 5000.28, 3957.14, 8328.34, 7547.94]",5273.956666666666
100,2695191300,5,"[array([10616.,  3120.]), array([3492., 6405.]), array([ 2620., 12113.]), array([4898., 8296.]), array([7341., 6681.]), array([7852., 3351.])]","[3952.83, 326.39, 1346.06, 1983.9, 4456.19, 5111.29]",2862.7766666666666
102,2695191301,3,"[array([3527., 6562.]), array([3565., 8031.]), array([7670., 3596.]), array([2979., 1986.]), array([8631., 2287.]), array([12602.,  1742.])]","[4713.87, 1330.37, 10176.65, 8172.91, 154.38, 10039.61]",5764.631666666667
104,2695191306,4,"[array([8276., 3512.]), array([3344., 7767.]), array([3140., 7484.]), array([394., 461.]), array([8485., 2696.]), array([12302.,  1454.])]","[2761.35, 1054.76, 5495.71, 10811.08, 330.6, 9905.94]",5059.906666666667
106,2695191311,1,"[array([8535., 4711.]), array([6290., 4768.]), array([4824., 6523.]), array([2976., 9567.]), array([10953.,  2193.]), array([6592., 4766.])]","[1591.12, 3496.84, 6533.54, 3634.96, 2281.55, 3312.25]",3475.043333333333
108,2695191313,4,"[array([6879., 4587.]), array([6874., 5330.]), array([3812., 8098.]), array([11183.,  4809.]), array([6599., 4714.]), array([8319., 5563.])]","[2161.76, 3754.04, 4858.05, 6423.59, 3091.08, 4759.35]",4174.645
110,2695191314,3,"[array([6493., 4707.]), array([6959., 5203.]), array([2248., 8502.]), array([ 5658., 12624.]), array([7320., 3207.]), array([8621., 4394.])]","[2340.19, 3880.81, 4673.89, 3443.9, 1568.8, 5331.27]",3539.81
112,2695191315,4,"[array([7934., 3504.]), array([6910., 5308.]), array([2383., 8376.]), array([ 5196., 12460.]), array([7551., 8282.]), array([3101., 1352.])]","[2784.99, 3795.62, 4755.74, 3447.72, 5958.71, 4862.77]",4267.591666666666
114,2695191316,1,"[array([8217., 3538.]), array([7819., 5347.]), array([4987., 9173.]), array([11742.,  3863.]), array([8942., 2351.]), array([6946., 4996.])]","[2735.04, 4640.6, 4003.48, 7490.74, 270.42, 3551.38]",3781.943333333333
116,2695191318,5,"[array([10238.,  5240.]), array([3767., 6505.]), array([ 2627., 12709.]), array([7147., 3802.]), array([3679., 4289.]), array([ 6835., 12988.])]","[2256.35, 435.84, 1072.36, 5536.89, 5338.4, 7528.95]",3694.7983333333336
118,2695191321,5,"[array([3399., 7735.]), array([ 6284., 10996.]), array([2226., 8584.]), array([6868., 3001.]), array([6893., 5430.]), array([10242.,  2298.])]","[5049.29, 5172.44, 4602.71, 6316.6, 3492.23, 7696.93]",5388.366666666667
120,2695191322,5,"[array([5524., 3458.]), array([5546., 5403.]), array([3656., 9041.]), array([1550.,  730.]), array([7552., 5211.]), array([5529., 5481.])]","[3906.08, 2527.91, 3913.03, 9958.59, 3000.71, 2053.89]",4226.701666666667
122,2695191324,1,"[array([7617., 3838.]), array([6895., 5082.]), array([3699., 9615.]), array([12268.,  2329.]), array([6951., 5020.]), array([380., 858.])]","[2511.46, 3871.34, 3339.12, 8992.54, 3114.65, 6228.52]",4676.2716666666665
124,2695191331,2,"[array([7165., 3239.]), array([3912., 6290.]), array([ 3669., 10672.]), array([6914., 5340.]), array([7317., 3451.]), array([3163., 6960.])]","[3216.15, 676.54, 2282.0, 3984.23, 1705.01, 886.73]",2125.11
126,2695191338,3,"[array([8639., 4596.]), array([3838., 5991.]), array([3567., 9432.]), array([3168., 7977.]), array([6412., 8772.]), array([394., 461.])]","[1725.68, 852.88, 3523.54, 3684.37, 6734.8, 6564.67]",3847.656666666667
128,2695191340,3,"[array([7837., 3625.]), array([3515., 6494.]), array([7939., 8113.]), array([11544.,  2016.]), array([10994.,  8230.]), array([2956., 5908.])]","[2677.3, 255.19, 6453.77, 8812.21, 6241.23, 703.55]",4190.541666666667
130,2695191344,1,"[array([7079., 3105.]), array([4422., 7083.]), array([5351., 8751.]), array([12192.,  2073.]), array([8402., 2609.]), array([3559., 6583.])]","[3371.3, 1101.97, 4526.32, 9146.1, 332.95, 396.23]",3145.811666666667
132,2695191349,1,"[array([6819., 5513.]), array([6556., 4565.]), array([2374., 8604.]), array([3616., 8076.]), array([10523.,  4622.]), array([2852., 7497.])]","[1604.42, 3830.86, 4539.24, 3231.7, 2859.72, 1507.27]",2928.8683333333333
134,2695191354,1,"[array([7452., 3792.]), array([3631., 8232.]), array([6905., 4966.]), array([4963., 3005.]), array([1804., 3198.]), array([6881., 5032.])]","[2600.72, 1538.95, 8617.82, 6516.48, 6922.51, 3478.08]",4945.760000000001
136,2695191355,5,"[array([ 6915., 11421.]), array([3655., 8139.]), array([3773., 6503.]), array([10688.,  5322.]), array([13399.,  2492.]), array([2372., 8324.])]","[5313.79, 1451.52, 6451.81, 5711.0, 4715.38, 2463.47]",4351.161666666667
138,2695191357,4,"[array([3452., 7768.]), array([2177., 8668.]), array([3618., 9985.]), array([ 2931., 11263.]), array([9421., 5657.]), array([12632.,  2837.])]","[5008.34, 2297.58, 2969.47, 4157.24, 3308.14, 9633.01]",4562.296666666666
140,2695191365,3,"[array([7980., 3500.]), array([3787., 6267.]), array([ 4021., 10002.]), array([9188., 5578.]), array([2476.,  666.]), array([10802.,  4582.])]","[2784.43, 601.1, 2972.68, 4542.04, 6454.3, 7378.13]",4122.113333333334
142,2695191366,5,"[array([7940., 3559.]), array([4268., 7194.]), array([ 3354., 10168.]), array([ 1968., 11582.]), array([6846., 4953.]), array([7512., 8600.])]","[2729.66, 1006.39, 2803.98, 5160.12, 3119.89, 4594.44]",3235.7466666666664
144,2695191370,1,"[array([7554., 3476.]), array([6941., 4979.]), array([3332., 7804.]), array([ 5793., 11430.]), array([3146., 1365.]), array([7049., 5448.])]","[2878.0, 3957.15, 5161.15, 2267.25, 5639.85, 3526.72]",3905.0200000000004
146,2695191372,4,"[array([362., 135.]), array([3611., 6597.]), array([2728., 6457.]), array([3403., 6596.]), array([8012., 1954.]), array([7061., 4693.])]","[9980.58, 254.92, 6565.08, 4196.46, 824.66, 3769.56]",4265.21
148,2695191373,4,"[array([2235., 1361.]), array([4367., 7244.]), array([ 2870., 11181.]), array([4186., 6063.]), array([8406., 2724.]), array([3002., 1722.])]","[7751.89, 1117.25, 1945.54, 4048.83, 403.17, 4506.98]",3295.61
